design,n,auroc,recall_native,fpr_native,precision_native,no_verdict_rate
EMB,579,0.4508944013440727,0.01694915254237288,0.023323615160349854,0.3333333333333333,0.0
HYB,579,0.6035479567129515,0.24152542372881355,0.023323615160349854,0.8769230769230769,0.0
JUDGE,579,0.7620385926767802,0.5169491525423728,0.06705539358600583,0.8413793103448276,0.2538860103626943
R,579,0.6122881355932204,0.2245762711864407,0.0,1.0,0.0
SLM,579,0.7524768987498147,0.690677966101695,0.20408163265306123,0.6995708154506438,0.0
