condition,models,temperature,runs,inputs,generation_failures,retried_excluded,structural_pass,structural_rate,svsi_obj,svsi_obj_rate,svsi_obj_lo,svsi_obj_hi,decided,svsi_all,svsi_all_rate,svsi_all_lo,svsi_all_hi
qwen3:1.7b T0.8,qwen3:1.7b,0.8,1,340,1,0,334,0.9823529411764705,16,0.04790419161676647,0.02969862071709664,0.07639133386516915,137,48,0.35036496350364965,0.27554813520811977,0.4333446919111406
qwen3:4b T0.8 (E1),qwen3:4b,0.8,3,878,263,50,798,0.908883826879271,9,0.011278195488721804,0.005944590114272728,0.021294705028309047,327,73,0.22324159021406728,0.18146815443776093,0.2714422413528531
qwen3:8b T0.8,qwen3:8b,0.8,1,394,1,0,355,0.9010152284263959,5,0.014084507042253521,0.006030577136995145,0.03254243112068736,130,30,0.23076923076923078,0.166699568283682,0.31029413173185877
qwen3:4b T0,qwen3:4b,0,1,274,82,0,252,0.9197080291970803,7,0.027777777777777776,0.013519212808742374,0.056217686897951154,99,26,0.26262626262626265,0.18598028163201125,0.3570062141051224
