design,n,tp,fp,fn,tn,recall_at_fpr05,recall_ci_lo,recall_ci_hi,precision,fpr,f1,median_ms,p95_ms,population
HYB,575,64,19,172,320,0.2711864406779661,0.2125494071146245,0.32515287873543325,0.7710843373493976,0.05604719764011799,0.40125391849529785,0.01159899999765912,0.016561899994849225,shared stratified sample
JUDGE,575,56,12,180,327,0.23728813559322035,0.18533305563604754,0.2936483906164757,0.8235294117647058,0.035398230088495575,0.368421052631579,2708.7848360000644,7189.757217400079,shared stratified sample
R,575,53,0,183,339,0.2245762711864407,0.16970387359836903,0.278008763932047,1.0,0.0,0.36678200692041524,0.006917999999984659,0.011044100000003707,shared stratified sample
EMB,575,11,19,225,320,0.046610169491525424,0.021640376790591383,0.07328070021111892,0.36666666666666664,0.05604719764011799,0.08270676691729324,30.857382999998663,74.34935719999991,shared stratified sample
SLM,575,3,4,233,335,0.012711864406779662,0.0,0.02880658436213992,0.42857142857142855,0.011799410029498525,0.02469135802469136,1074.743027000106,1663.4881578000088,shared stratified sample
