group,name,n,struct_pass,struct_rate,struct_lo,struct_hi,decided,svsi,ambiguous,cond_svsi,cond_lo,cond_hi,uncond_svsi,uncond_lo,uncond_hi
A,A valid human*,134,131,0.9776119402985075,0.9362457955303272,0.9923572611632616,130,5,1,0.038461538461538464,0.01653842636016352,0.0868783993577732,0.03731343283582089,0.016041511340777803,0.08437427748730816
B,B random,425,398,0.9364705882352942,0.909146811885858,0.95597476712435,362,193,36,0.5331491712707183,0.48167705761254503,0.5839251299507919,0.4541176470588235,0.4074038041898019,0.5016534961298798
C,C rule-based adversarial,85,82,0.9647058823529412,0.9012995216039354,0.987924958145358,81,56,1,0.691358024691358,0.5840194691734771,0.7813679302289317,0.6588235294117647,0.5531313859346882,0.75078077803026
D,D LLM context-free,1268,1065,0.8399053627760252,0.8186997925687044,0.8590576386124457,530,200,535,0.37735849056603776,0.33711296111291816,0.41936904707134276,0.15772870662460567,0.13870436435710135,0.17882063533519774
E,E LLM context-aware,1108,1028,0.927797833935018,0.9110346671336501,0.941604881858814,564,138,464,0.24468085106382978,0.21100694441112205,0.2818092360098622,0.12454873646209386,0.1063932274908891,0.1452986451233196
F,F boundary,85,82,0.9647058823529412,0.9012995216039354,0.987924958145358,81,26,1,0.32098765432098764,0.22942221969038806,0.42876376151380985,0.3058823529411765,0.21809384837683815,0.4104579512215583
G,G benign-unusual human*,131,131,1.0,0.9715112929340055,1.0,128,22,3,0.171875,0.11633115948147266,0.24653996807301726,0.16793893129770993,0.11359944197913167,0.24119840164484946
