contrast,role,strata,n1,n2,mh_odds_ratio,ci_lo,ci_hi,p_two_sided
E vs B,H3a (pre-registered),16,564,362,0.1621293156547264,0.11258010178886124,0.23348633174952999,0.0
E vs G,H3b (pre-registered),16,564,123,1.323069095691132,0.7721464468958062,2.2670723138212723,0.28645967306057785
D vs B,H3c (pre-registered),16,530,362,0.47435711536576153,0.3404984053644054,0.6608391386071633,3.983523945927381e-06
E vs D,exploratory,16,564,530,0.23169031311197277,0.1529139335863322,0.3510497698341995,2.3081536681957004e-13
C vs B,sanity: adversarial vs random,16,79,362,2.177860279830177,1.2012115869997966,3.948576129130181,0.003710182316851718
