category,struct_pass,svsi,cond_svsi,ci_lo,ci_hi
structured,107,61,0.5700934579439252,0.475469112033829,0.6598593125429819
freetext,69,35,0.5072463768115942,0.3920526756263652,0.6216757699071268
crossfield,600,270,0.45,0.410636575767514,0.4899995943338562
aifacing,260,114,0.43846153846153846,0.3794776720307856,0.4992373709232972
search,95,30,0.3157894736842105,0.23103226162043156,0.41486531599937426
simple,249,68,0.27309236947791166,0.22151325431082078,0.33156636907430037
financial,496,62,0.125,0.09874626320641403,0.1570177526923834
