category,struct_pass,svsi,cond_svsi,ci_lo,ci_hi
structured,109,62,0.5688073394495413,0.47505894003317817,0.657870925964346
freetext,79,40,0.5063291139240507,0.3983739722469014,0.6136972782384921
crossfield,616,272,0.44155844155844154,0.40282669781716024,0.4810145667910725
aifacing,271,117,0.4317343173431734,0.37412205557565303,0.4912548778798679
search,98,30,0.30612244897959184,0.22362659816564479,0.40324441841214975
simple,249,68,0.27309236947791166,0.22151325431082078,0.33156636907430037
financial,503,62,0.12326043737574553,0.09735442464805023,0.15487722806274495
