group,name,n,struct_pass,struct_rate,struct_lo,struct_hi,decided,svsi,ambiguous,cond_svsi,cond_lo,cond_hi,uncond_svsi,uncond_lo,uncond_hi
A,A valid human*,134,131,0.9776119402985075,0.9362457955303272,0.9923572611632616,130,5,1,0.038461538461538464,0.01653842636016352,0.0868783993577732,0.03731343283582089,0.016041511340777803,0.08437427748730816
B,B random,425,398,0.9364705882352942,0.909146811885858,0.95597476712435,362,193,36,0.5331491712707183,0.48167705761254503,0.5839251299507919,0.4541176470588235,0.4074038041898019,0.5016534961298798
C,C rule-based adversarial,85,82,0.9647058823529412,0.9012995216039354,0.987924958145358,81,56,1,0.691358024691358,0.5840194691734771,0.7813679302289317,0.6588235294117647,0.5531313859346882,0.75078077803026
D,D LLM context-free,1317,1106,0.8397873955960516,0.8189931663157869,0.858605188901724,547,208,559,0.3802559414990859,0.34054285842343496,0.42163916708993127,0.15793470007593013,0.13923756497790796,0.17862152099865364
E,E LLM context-aware,1180,1099,0.9313559322033899,0.9154851132442215,0.9444273289286517,596,141,503,0.23657718120805368,0.20421296834349117,0.27231537863450334,0.11949152542372882,0.1022078124705337,0.1392446697777569
F,F boundary,85,82,0.9647058823529412,0.9012995216039354,0.987924958145358,81,26,1,0.32098765432098764,0.22942221969038806,0.42876376151380985,0.3058823529411765,0.21809384837683815,0.4104579512215583
G,G benign-unusual human*,131,131,1.0,0.9715112929340055,1.0,128,22,3,0.171875,0.11633115948147266,0.24653996807301726,0.16793893129770993,0.11359944197913167,0.24119840164484946
